timestamp,timestamp_unix_milli,elapsed_s,connected_clients,total_clients,bytes_sent,bytes_received,uptime_s,lg_connected_clients,ws_rtt_avg_ms,ws_rtt_p50_ms,ws_rtt_p95_ms,ws_rtt_p99_ms,ws_rtt_max_ms,ws_jitter_ms,connection_drops,cpu_percent,memory_mb,migration_event
2026-02-22T18:34:17.839544106+01:00,1771781657839,147.000,4,4,9838013,218744,147.9,4,270.772,98.217,900.345,997.671,999.127,102.711,0,2.48,16.21,0
2026-02-22T18:34:18.839541817+01:00,1771781658839,148.000,4,4,9909813,220224,148.9,4,0.386,0.392,0.455,0.466,0.468,0.027,0,2.00,16.21,0
2026-02-22T18:34:19.839542425+01:00,1771781659839,149.000,4,4,9981613,221704,149.9,4,0.396,0.399,0.472,0.485,0.491,0.024,0,2.00,16.21,0
2026-02-22T18:34:20.839543217+01:00,1771781660839,150.000,4,4,10053413,223184,150.9,4,0.386,0.396,0.435,0.458,0.461,0.023,0,2.00,16.21,0
2026-02-22T18:34:21.839541947+01:00,1771781661839,151.000,4,4,10125213,224664,151.9,4,0.373,0.369,0.475,0.501,0.512,0.036,0,2.00,16.21,0
2026-02-22T18:34:22.839542047+01:00,1771781662839,152.000,4,4,10197013,226144,152.9,4,0.365,0.359,0.468,0.479,0.479,0.044,0,3.00,16.21,0
2026-02-22T18:34:23.839546045+01:00,1771781663839,153.000,4,4,10268813,227624,153.9,4,0.359,0.360,0.448,0.460,0.462,0.034,0,1.00,16.21,0
2026-02-22T18:34:24.839541603+01:00,1771781664839,154.000,4,4,10340613,229104,154.9,4,0.401,0.408,0.475,0.522,0.549,0.032,0,2.00,16.21,0
2026-02-22T18:34:25.839541598+01:00,1771781665839,155.000,4,4,10412413,230584,155.9,4,0.399,0.408,0.464,0.492,0.502,0.030,0,2.00,16.21,0
2026-02-22T18:34:26.839544656+01:00,1771781666839,156.000,4,4,10484213,232064,156.9,4,0.402,0.405,0.471,0.493,0.505,0.027,0,2.00,16.21,0
2026-02-22T18:34:27.839541459+01:00,1771781667839,157.000,4,4,10556013,233544,157.9,4,0.387,0.378,0.478,0.483,0.485,0.033,0,3.00,16.21,0
2026-02-22T18:34:28.839541571+01:00,1771781668839,158.000,4,4,10627813,235024,158.9,4,0.389,0.400,0.462,0.490,0.495,0.039,0,2.00,16.21,0
